"","peaknum_a","mz","rt","rtmin","rtmax","match_mz","n_carbons","adduct","iso","charge","maxo"
"peaknum",7704,565.050000086441,1701.3,1691.33,1717.27,580.100312015333,15,0,0,1,38140.2421875
"peaknum",7247,569.05768744502,1645.42,1637.44,1656.4,585.111335961882,16,0,0,1,4815.35205078125
"peaknum",3471,569.369092461268,923.951,916.966,938.919,595.456333625617,26,0,0,1,14976.30078125
"peaknum",9236,571.139240396711,2118.42,2110.44,2127.4,590.202355033071,19,NA,NA,1,1285.33081054688
"peaknum",8965,579.028334198054,2014.95046560238,2008.65,2022.62,594.080212128766,15,NA,NA,1,2158.03442382812
"peaknum",7240,585.030456903152,1645.42,1639.43,1651.41,601.085451400088,16,NA,NA,1,1278.1845703125
"peaknum",7639,587.031942408468,1701.3,1694.32,1712.28,602.081712706804,15,NA,NA,1,3239.10327148438
"peaknum",9232,590.202355033071,2117.42,2071.52,2124.41,604.251056372712,14,NA,NA,1,1612.22497558594
"peaknum",9284,595.666017850479,2103.45,2091.48,2119.42,616.234836297634,41,0,0,2,179241.84375
"peaknum",2855,603.504018035853,859.089,855.098,865.077,619.558770626972,16,NA,NA,1,1820.64819335938
"peaknum",5734,605.697360815791,1270.22,1252.26,1297.16,625.765233827307,20,NA,NA,1,2479.15942382812
"peaknum",7593,606.076506809522,1681.35,1671.37,1696.32,623.133519164648,17,0,0,1,18885.3046875
"peaknum",9209,606.657160792351,2104.45,2093.47,2119.42,626.723734529182,20,0,0,1,11536.2939453125
"peaknum",9186,607.658563721778,2105.45,2095.47,2114.43,627.725202828141,20,NA,NA,1,2460.56127929688
"peaknum",9137,611.719250943376,2102.45,2097.46,2119.42,617.737923830225,6,0,NA,1,1507.12902832031
"peaknum",4992,612.67702649634,1091.86584997336,1080.63,1101.58,628.733014731229,16,NA,NA,1,1003.45141601562
"peaknum",9195,614.64297405072,2103.45,2096.47,2115.43,634.709543313683,20,NA,NA,1,1702.57873535156
"peaknum",6199,616.18862106105,1490.75,1483.77,1500.73,639.266945673717,23,NA,NA,1,757.281921386719
"peaknum",7649,618.087467985304,1701.3,1690.33,1716.27,635.145218692008,17,0,0,1,3771.82153320312
"peaknum",8924,620.02246403027,2006.66,1999.67,2019.63,635.073009163478,15,0,0,1,5796.28759765625
"peaknum",7884,621.180612268766,1814.07,1806.09,1825.05,631.213603305643,10,NA,NA,1,2061.70043945312
"peaknum",6255,625.193185174873,1490.75,1478.78,1499.73,649.275225044208,24,0,NA,1,5764.32568359375
"peaknum",7506,628.058570897611,1680.35,1674.36,1688.33,645.11577281434,17,NA,NA,1,2081.66943359375
"peaknum",1549,632.43478802637,794.228,784.249,810.194,665.543017392365,33,0,0,1,2946.36499023438
"peaknum",1651,633.456450150953,807.2,798.219,825.162,667.56810147929,34,0,NA,1,1400.8330078125
"peaknum",7475,644.033414696103,1679.85,1676.36,1685.34,661.088803611834,17,NA,NA,1,747.444763183594
"peaknum",2591,644.344242655876,849.111,846.117,863.081,672.437797392602,28,NA,NA,1,1271.2353515625
"peaknum",9157,644.653904864293,2103.45,2096.47,2113.43,664.720991834043,20,NA,NA,1,1554.12048339844
"peaknum",5210,645.187917350637,1112.56,1096.59,1122.54,663.247660827949,18,NA,NA,1,929.080505371094
"peaknum",1587,646.450854942708,801.213,786.245,818.177,680.561868470099,34,NA,NA,1,1847.04211425781
"peaknum",1516,648.427105478761,796.223,790.236,800.215,681.537779616796,33,NA,NA,1,1540.62756347656
"peaknum",2712,650.364859969175,849.111,840.13,857.094,672.437797392602,22,0,NA,1,2558.18579101562
"peaknum",6219,655.204090462561,1489.75,1477.78,1503.72,678.281939196835,23,0,NA,1,2230.75
"peaknum",5851,656.211650219093,1294.17,1271.22,1329.09,680.292474540383,24,NA,NA,1,7706.498046875
"peaknum",5810,656.713618302521,1294.17,1275.21,1320.11,679.790975875445,23,NA,NA,1,4639.24853515625
"peaknum",2055,659.468109641008,800.215,785.247,817.179,694.582979614676,35,NA,NA,1,75633.3671875
"peaknum",12307,659.467049575901,3373.76,3355.8,3390.72,694.584108116254,35,0,0,1,8341.8984375
"peaknum",2215,660.467585775344,805.204,787.243,823.166,693.576168969836,33,0,NA,1,38819.68359375
"peaknum",3218,661.398173147949,847.115,832.147,863.081,678.454385324987,17,NA,NA,1,6487.51708984375
"peaknum",6167,662.104338446215,1467.8,1458.82,1483.77,683.174853164684,21,0,NA,1,43641.36328125
"peaknum",1715,662.471138237162,807.2,792.232,827.157,692.574417901403,30,NA,NA,1,3355.18432617188
"peaknum",6098,664.109712514131,1467.8,1459.82,1476.78,681.168095203154,17,0,NA,1,2868.88012695312
"peaknum",5501,665.21763468161,1180.41,1171.43,1192.39,689.297641467283,24,0,0,1,5708.3837890625
"peaknum",5622,665.217352636,1228.31,1220.33,1238.29,689.297589768652,24,0,NA,1,1728.76965332031
"peaknum",2151,665.442464037407,827.157,821.17,835.14,699.556154760811,34,0,0,1,7492.3603515625
"peaknum",12644,673.482654801125,3403.69,3377.75,3427.64,709.603248731665,36,0,NA,1,31095.7421875
"peaknum",3532,673.483895004308,817.179,801.213,834.143,709.60409565198,36,NA,NA,1,117677.3515625
"peaknum",3120,674.486172585714,818.177,801.213,834.143,709.60409565198,35,0,0,1,54802.91796875
"peaknum",2856,677.393792153608,859.089,854.1,871.064,693.450111431118,16,0,0,1,2859.46752929688
"peaknum",8719,678.09763346793,1957.06866494253,1946.79,1969.74,698.164615517794,20,0,0,1,13890.625
"peaknum",3357,682.453164661262,911.4775,896.011,917.964,714.560612155124,32,0,0,1,2046.05932617188
"peaknum",5816,686.222477881227,1296.17,1256.25,1355.04,710.30358354855,24,0,0,1,7323.42236328125
"peaknum",9143,686.641903399365,2103.45,2098.46,2116.42,706.707772902593,20,0,0,1,1687.49011230469
"peaknum",13213,688.494586030241,3407.56959978477,3363.78,3447.6,724.616028858455,36,NA,NA,1,14821.955078125
"peaknum",5763,688.496026677239,836.138,812.189,863.081,725.618685197508,37,NA,NA,1,42361.93359375
"peaknum",4128,689.498862688971,837.136,812.189,863.081,725.618685197508,36,NA,NA,1,18126.97265625
"peaknum",13216,689.497525003838,3409.30163673158,3362.78,3450.59,724.616028858455,35,NA,NA,1,6986.02294921875
"peaknum",1655,690.474819904471,807.2,798.219,816.181,726.594431183581,36,0,0,1,2931.40112304688
"peaknum",3323,690.501625136505,836.138,815.183,863.081,724.617145651135,34,NA,NA,1,5220.53271484375
"peaknum",3399,691.458150867733,823.166,816.181,838.134,727.579358054496,36,0,0,1,130976.296875
"peaknum",2713,693.471729164367,830.151,818.177,845.119,729.594060671457,36,0,NA,1,32400.302734375
