"","peaknum_b","peaknum_a","rt_diff","c_diff"
"1",3569,3602,-15.9119507314961,0
"2",7469,6493,6.74971625279795,0
"3",7514,6605,3.07332606814862,0
"4",7601,6605,3.07332606814862,0
"5",3924,3794,1.39368706794335,0
"6",3973,3798,-15.9119507314961,0
"7",2455,1905,-14.6575960981162,0
"8",3788,3690,-2.19627578700965,0
"9",3498,3415,-11.0896815072537,0
"10",6100,5317,1.26871501454798,1
"11",3882,3736,-6.72498955416881,0
"12",5869,5190,-7.53442330007283,0
"13",2662,2301,-16.9238183937072,0
"14",1448,1499,-33.6517632023466,0
"15",807,903,-35.6554092639788,0
"16",7629,6495,-15.9182213366726,0
"17",3745,3666,0.0215790174636368,0
"18",7509,6501,7.32678385925556,0
"19",3596,3518,-1.11068150725362,0
"20",7480,6508,5.32288840613796,0
"21",689,698,-10.0178214130919,0
"22",6096,5318,1.26871501454798,0
"23",5612,4874,-6.30412460729826,0
"24",7296,6312,3.70737086765303,0
"25",3166,3374,-1.52632306710132,0
"26",7476,6483,4.81413190755165,0
"27",3791,3693,-2.19627578700965,0
"28",7555,6541,5.1981072371434,0
"29",3720,3650,-6.59004968464603,0
"30",1418,1372,-31.4893651512651,0
"31",9409,8061,6.52031829787256,0
"32",1300,1406,42.3668352356223,0
"33",1432,1406,-31.4893651512651,0
"34",3160,3152,-15.9119507314961,0
"35",6253,5358,1.26871501454798,-1
"36",3761,3419,-76.8144209825364,0
"37",3392,3419,-7.00062176722827,0
"38",7719,6706,5.39222671719403,0
"39",3608,3592,1.98200587238387,0
"40",7686,6673,7.03177866332749,0
"41",5515,4773,-4.73176616714613,0
"42",3345,3362,-15.9119507314961,0
"43",3230,3254,-6.62725046933792,0
"44",3533,3491,3.69805277945363,0
"45",6086,5284,2.22878903002788,0
"46",7721,6685,3.83765918327663,0
"47",5400,4581,-27.974626557999,0
"48",3362,3435,8.41108784171809,0
"49",9013,7816,7.17573042033382,0
"50",3382,3404,-6.05909241607321,0
"51",7362,6409,4.72126632077061,0
"52",7532,6512,5.68535732582814,0
"53",3353,6459,-15.9119507314961,0
"54",3932,3818,4.21721953959627,0
"55",3849,3732,1.39368706794335,0
"56",9012,7814,6.30732932963974,0
"57",7105,6176,6.01627151669845,0
"58",5701,4975,-2.91037850056819,0
"59",7195,6272,5.80825658353024,0
"60",9062,8144,5.40056309381316,0
"61",7533,6528,6.22589814337834,0
"62",3095,3255,10.2262710018023,0
