"","peaknum_a","mz","rt","rtmin","rtmax","match_mz","n_carbons","adduct","iso","charge","maxo"
"peaknum",3602,71.0145827072606,804.304,786.342,822.266,74.0248452696724,3,0,NA,1,31545.01953125
"peaknum",6493,85.0663798517968,1679.87682784666,1669.47,1687.43,90.0835297971289,5,NA,NA,1,1478.88513183594
"peaknum",6605,85.0302564152946,1694.41,1674.46,1716.37,89.043590682805,4,NA,NA,1,3994.37915039062
"peaknum",3794,88.0412936127259,1014.85,1005.87,1030.82,91.0511189605822,3,NA,NA,1,15918.9443359375
"peaknum",3798,89.0252868694467,804.304,786.342,822.266,92.0355139693124,3,NA,NA,1,99287.6953125
"peaknum",1905,95.0150117567701,806.570222295591,791.332,820.27,100.031573922352,5,NA,NA,1,3577.80859375
"peaknum",3690,99.0091520138247,981.925,967.955,997.891,103.022967778198,4,NA,NA,1,11221.955078125
"peaknum",3415,100.004827885749,894.112,886.129,911.076,102.011565440516,2,NA,NA,1,5915.07763671875
"peaknum",5317,102.056764051833,1460.91,1436.96,1471.89,106.070143876551,4,NA,NA,1,7538.3623046875
"peaknum",6462,103.040523831292,1669.47,1660.48,1681.44,107.054146640517,4,NA,NA,1,2802.79248046875
"peaknum",3736,103.040583706098,1016.85,968.953,1027.83,107.054021444357,4,NA,NA,1,2178.17333984375
"peaknum",5190,105.020159030312,1293.27,1268.32,1320.21,108.030388476464,3,NA,NA,1,10773.1201171875
"peaknum",2301,107.036282282201,804.304,786.342,823.264,110.046140625923,3,NA,NA,1,7566.85205078125
"peaknum",1499,109.041884066146,697.532,683.562,714.496,114.058662903593,5,NA,NA,1,11418.1044921875
"peaknum",7804,111.009243428713,2034.7,2021.72,2048.67,116.026078691428,5,NA,NA,1,2864.34106445312
"peaknum",903,111.020892667841,222.537,205.573,239.501,115.034622080533,4,0,0,1,193190.015625
"peaknum",6495,113.061546276412,1678.45,1665.48,1687.43,119.081531592975,6,NA,NA,1,2186.38208007812
"peaknum",6610,113.061474504515,1701.4,1691.42,1712.37,119.081424920469,6,NA,NA,1,3721.78051757812
"peaknum",3666,114.056818061189,967.955,957.976,988.91,119.07343747388,5,NA,NA,1,1907.408203125
"peaknum",6501,115.040728534411,1679.44,1669.47,1703.39,120.057561205848,5,NA,NA,1,5031.9833984375
"peaknum",3518,116.072462188066,904.091,895.11,918.061,121.089129866199,5,0,0,1,15875.923828125
"peaknum",6508,117.02037726235,1678.45,1663.48,1694.41,121.033328496287,4,NA,NA,1,5587.6865234375
"peaknum",698,125.036479913802,161.667,151.688,177.633,130.053325980636,5,0,0,1,57042.03125
"peaknum",5318,128.036105754277,1460.91,1445.94,1473.88,133.052526142512,5,NA,NA,1,3182.71142578125
"peaknum",6649,129.019955540418,1695.41,1658.49,1724.35,134.036682262442,5,NA,NA,1,9879.390625
"peaknum",7819,129.019637728463,2054.65,2044.67,2067.63,134.03655315788,5,NA,NA,1,3109.79248046875
"peaknum",4874,129.039274905812,1205.46,1198.47,1216.43,133.052552480445,4,NA,NA,1,1041.10473632812
"peaknum",3702,129.019742814071,996.893,982.923,1012.86,134.036950926477,5,NA,NA,1,1120.06323242188
"peaknum",6312,130.051640501525,1649.51,1641.53,1654.5,135.068719752371,5,NA,NA,1,1536.69580078125
"peaknum",3374,130.0879718305,861.183,853.2,872.159,136.108322976677,6,NA,NA,1,21644.025390625
"peaknum",6483,131.071790721258,1678.945,1669.47,1687.43,137.092024781254,6,NA,NA,1,791.583312988281
"peaknum",3693,131.035953184669,981.925,972.944,990.906,135.049033008093,4,NA,NA,1,10042.1982421875
"peaknum",3201,131.09163409608,860.185,854.198,866.172,135.104928819285,4,NA,NA,1,1754.86865234375
"peaknum",6541,132.030672349115,1687.43,1679.44,1699.4,136.044671817868,4,NA,NA,1,4104.43310546875
"peaknum",3650,133.05144581016,934.027,924.048,949.993,138.068360462579,5,0,0,1,105197.03125
"peaknum",1372,133.045635426823,687.553,677.575,703.519,138.061814415902,5,0,0,1,3739.06665039062
"peaknum",8061,134.048132482214,2248.24,2238.26,2259.22,139.064695175781,5,NA,NA,1,1201.60278320312
"peaknum",1406,138.061814415902,687.553,678.572,704.517,139.064956386123,1,0,0,1,8452.4501953125
"peaknum",6612,143.035494802601,1698.41,1644.52,1755.28,149.055794792061,6,NA,NA,1,3708.55346679688
"peaknum",3152,143.035888153538,804.304,786.342,822.266,149.055838534579,6,NA,NA,1,23828.828125
"peaknum",5358,146.046614526306,1460.91,1446.94,1476.88,150.059890302689,4,0,0,1,68080.75
"peaknum",3672,147.066966104548,966.957,957.976,981.925,153.087070472148,6,0,NA,1,22972.03125
